Date,Time,System Utilization,Eligible/Idle Jobs,Active Jobs
2021/03/10,05:54,70.362,5/0,34
2021/03/10,06:04,70.362,5/0,34
2021/03/10,06:14,70.362,5/0,34
2021/03/10,06:24,70.362,5/0,34
2021/03/10,06:34,70.362,5/0,34
2021/03/10,06:44,70.362,5/0,34
2021/03/10,06:54,70.362,5/0,34
2021/03/10,07:04,70.584,0/1,35
2021/03/10,07:14,70.584,5/0,35
2021/03/10,07:24,70.584,5/0,35
2021/03/10,07:34,70.584,5/0,35
2021/03/10,07:44,70.584,5/0,35
2021/03/10,07:54,70.584,5/0,35
2021/03/10,08:04,70.584,5/0,35
2021/03/10,08:14,70.584,5/0,35
2021/03/10,08:24,70.584,5/0,35
2021/03/10,08:34,71.323,0/1,36
2021/03/10,08:44,71.323,5/0,36
2021/03/10,08:54,71.323,5/0,36
2021/03/10,09:04,71.397,0/1,37
2021/03/10,09:14,72.727,0/4,40
2021/03/10,09:24,72.727,0/1,40
2021/03/10,09:34,69.032,4/0,39
2021/03/10,09:44,69.032,4/0,39
2021/03/10,09:54,69.106,2/6,39
2021/03/10,10:04,66.888,1/10,45
2021/03/10,10:14,67.110,0/1,46
2021/03/10,10:24,67.997,0/2,48
2021/03/10,10:34,65.041,2/8,50
2021/03/10,10:44,64.893,2/2,49
2021/03/10,10:54,66.075,2/3,50
2021/03/10,11:04,81.523,1/4,51
2021/03/10,11:14,68.662,1/2,51
2021/03/10,11:24,69.845,1/2,52
2021/03/10,11:34,71.840,1/8,58
2021/03/10,11:44,71.766,2/2,57
2021/03/10,11:54,71.249,2/3,57
2021/03/10,12:04,67.923,2/5,59
2021/03/10,12:14,83.444,2/4,61
2021/03/10,12:24,83.518,2/3,62
2021/03/10,12:34,84.627,2/5,64
2021/03/10,12:44,86.105,2/3,65
2021/03/10,12:54,86.105,2/2,65
2021/03/10,13:04,86.105,2/4,65
2021/03/10,13:14,86.105,1/2,65
2021/03/10,13:24,83.075,1/1,63
2021/03/10,13:34,83.001,1/1,62
2021/03/10,13:44,83.001,1/1,62
2021/03/10,13:54,83.001,1/1,62
2021/03/10,14:04,83.001,1/1,62
2021/03/10,14:14,94.752,1/2,61
2021/03/10,14:24,98.448,1/5,65
2021/03/10,14:34,98.004,1/1,64
2021/03/10,14:44,98.004,1/1,64
2021/03/10,14:54,94.752,1/2,62
2021/03/10,15:04,98.448,1/3,63
