Date,Time,System Utilization,Active Jobs
2021/03/14,02,88.741,61.833333333333336
2021/03/14,03,95.097,57.166666666666664
2021/03/14,04,98.67,54.5
2021/03/14,05,100.0,56.0
2021/03/14,06,96.04583333333333,59.0
2021/03/14,07,87.73116666666665,62.833333333333336
2021/03/14,08,89.283,62.0
2021/03/14,09,89.19666666666666,63.5
2021/03/14,10,69.14266666666667,63.166666666666664
2021/03/14,11,64.22783333333332,63.666666666666664
2021/03/14,12,61.0495,63.5
2021/03/14,13,59.669999999999995,62.666666666666664
2021/03/14,14,92.86766666666666,61.166666666666664
2021/03/14,15,100.0,61.0
2021/03/14,16,99.926,61.5
2021/03/14,17,99.77816666666666,64.83333333333333
2021/03/14,18,99.52,67.5
2021/03/14,19,99.51966666666668,66.16666666666667
2021/03/14,20,86.79483333333333,69.0
